id,person,title,Height,Weight,RecipeWebUsage,HomeCook,CookingExp,EatingGoals,Depression,PhysicalActivity,SleepHours,CookingTime
56,57,Profile,150,110,Monthly,Weekly,Medium,No Goal,Not at all,Average (=6h),7-9h,30-60min
57,58,Profile,172,90,Monthly,Daily,High,Lose Weight,Somewhat,Average (=6h),7-9h,≤30min
58,59,Profile,185,64,Monthly,Weekly,High,No Goal,Not at all,Not enough (<3h),7-9h,30-60min
59,56,Profile,162,69,Weekly,Daily,High,Lose Weight,Somewhat,Not enough (<3h),≤7h,30-60min
60,60,Profile,165,88,Weekly,Daily,High,No Goal,Not at all,Average (=6h),7-9h,30-60min
61,63,Profile,157,73,Weekly,Weekly,Very_High,No Goal,Not at all,Average (=6h),7-9h,30-60min
62,62,Profile,178,90,Weekly,Daily,High,Lose Weight,Not at all,Average (=6h),7-9h,30-60min
63,65,Profile,163,65,Weekly,Weekly,High,No Goal,Not at all,Average (=6h),≤7h,30-60min
64,61,Profile,152,58,Weekly,Daily,High,No Goal,Not at all,Average (=6h),≤7h,30-60min
65,67,Profile,155,56,Daily,Daily,Very_High,Lose Weight,Quite a lot,Not enough (<3h),≤7h,30-60min
66,70,Profile,168,81,Weekly,Daily,Very_High,Lose Weight,Not at all,Average (=6h),7-9h,30-60min
67,69,Profile,166,85,Monthly,Daily,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min
68,73,Profile,152,73,Weekly,Daily,High,Lose Weight,Not at all,A lot (>9h),7-9h,30-60min
69,72,Profile,63,113,Monthly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),7-9h,≤30min
70,64,Profile,168,60,Daily,Daily,High,No Goal,Not at all,A lot (>9h),7-9h,30-60min
71,74,Profile,152,130,Monthly,Weekly,Medium,Lose Weight,Quite a lot,Not enough (<3h),≤7h,30-60min
72,71,Profile,163,55,Monthly,Daily,High,No Goal,Somewhat,Average (=6h),7-9h,30-60min
73,68,Profile,165,53,Monthly,Daily,Very_High,Gain Weight,Not at all,Average (=6h),≤7h,30-60min
74,66,Profile,167,81,Weekly,Daily,High,No Goal,Somewhat,Average (=6h),7-9h,≥60min
75,76,Profile,6,1,Monthly,Daily,Medium,Lose Weight,Not at all,Average (=6h),≤7h,≥60min
76,75,Profile,165,74,Monthly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),7-9h,≤30min
77,77,Profile,1737,70,Monthly,Monthly,Low,No Goal,Not at all,Average (=6h),7-9h,30-60min
78,78,Profile,175,74,Weekly,Daily,Medium,Lose Weight,Not at all,Average (=6h),≤7h,30-60min
79,80,Profile,167,53,Monthly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),≤7h,≤30min
80,81,Profile,61,53,Weekly,Daily,Medium,No Goal,Not at all,A lot (>9h),≤7h,30-60min
81,82,Profile,160,154,Monthly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),≤7h,≤30min
82,83,Profile,163,60,Weekly,Daily,High,Lose Weight,Not at all,Average (=6h),7-9h,30-60min
83,84,Profile,168,68,Monthly,Daily,Medium,Lose Weight,Not at all,Not enough (<3h),≤7h,30-60min
84,85,Profile,152,7,Weekly,Weekly,Medium,No Goal,Somewhat,Average (=6h),7-9h,30-60min
85,86,Profile,165,70,Weekly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),7-9h,30-60min
86,87,Profile,160,60,Monthly,Daily,Medium,No Goal,Not at all,Not enough (<3h),7-9h,≤30min
87,88,Profile,183,181,Monthly,Daily,High,Lose Weight,Somewhat,Average (=6h),7-9h,30-60min
88,89,Profile,6,55,Weekly,Daily,Medium,No Goal,Not at all,Average (=6h),≤7h,30-60min
89,90,Profile,160,92,Monthly,Weekly,Medium,Lose Weight,Quite a lot,Average (=6h),7-9h,30-60min
90,91,Profile,169,77,Daily,Daily,Medium,Lose Weight,Not at all,Average (=6h),7-9h,30-60min
